name,temperature,feels_like,humidity,wind,wind_gust,dew_point,wind_direction,pressure_relative,pressure_absolute,uvi,created_at
"Monte hermoson 2",15,15,73,3.5,2.2,15,NE,1010.4,1016.5,1,"2023-09-14 16:07:52"
"Monte hermoson 2",14.7,14.7,74,1.1,1.1,14.7,E,1010.4,1016.1,2,"2023-09-14 16:13:43"
Ciupac,14.4,14.4,69,6.1,5.8,14.4,N,1011.1,1014.4,1,"2023-09-14 16:13:44"
"Monte hermoson 2",15.7,15.7,82,7.9,8.1,15.7,ENE,1013.4,1019.2,0,"2023-10-20 19:57:54"
"STE - Ciupac",15.9,15.9,82,13,13.6,15.9,SE,1008.7,1018.8,0,"2023-10-20 19:57:55"
"SCLE - Ciupac",15.7,15.7,82,7.9,8.1,15.7,ENE,1013.4,1019.2,0,"2023-10-20 19:57:56"
"MDA - Ciupac",15.6,15.6,80,4.7,4.5,15.6,ENE,1014.8,1018.2,0,"2023-10-20 19:57:57"
"CN - Ciupac",14.5,14.5,89,5.5,4.5,14.5,NE,1009.7,1019.2,0,"2023-10-20 19:57:58"
"BHI - Ciupac",22.4,22.4,42,3.2,2.2,22.4,SSE,1012.4,1011.4,0,"2023-10-20 19:57:59"
"GAVIOTAS - Ciupac",14.8,14.8,86,11.1,10.3,14.8,N,1013.1,1018.8,0,"2023-10-20 19:58:00"
"Monte hermoson 2",15.8,15.8,82,11.6,13.6,15.8,NE,1013.4,1019.2,0,"2023-10-20 20:29:36"
"STE - Ciupac",15.9,15.9,82,10.1,10.3,15.9,SE,1009,1019.2,0,"2023-10-20 20:29:37"
"SCLE - Ciupac",15.8,15.8,82,11.6,13.6,15.8,NE,1013.4,1019.2,0,"2023-10-20 20:29:38"
"MDA - Ciupac",15.6,15.6,81,4,3.4,15.6,NE,1015.5,1018.5,0,"2023-10-20 20:29:39"
"CN - Ciupac",14.4,14.4,90,3.5,3.4,14.4,N,1010,1019.5,0,"2023-10-20 20:29:40"
"BHI - Ciupac",22,22,44,7.2,6.9,22,SE,1012.4,1011.4,0,"2023-10-20 20:29:41"
